date,hippodrome,temperature,precipitation,vent_kmh,terrain_lourd
2025-11-27,MAUQUENCHY,8.6,0.0,18.3,0
2025-11-28,COMPIEGNE,8.9,0.0,15.8,0
2025-11-28,PAU,7.4,0.0,2.3,0
2025-11-28,VINCENNES,10.2,0.0,6.7,0
2025-11-28,DEAUVILLE,12.2,0.0,16.1,0
2025-11-29,VINCENNES,11.4,1.0,19.0,0
2025-11-29,AUTEUIL,10.1,0.2,15.8,0
2025-11-30,CRAON,5.3,0.0,10.0,0
2025-11-30,VINCENNES,8.1,0.0,13.1,0
2025-11-30,LYON-PARILLY,9.1,0.0,6.6,0
2025-12-01,VINCENNES,7.8,0.0,16.2,0
2025-12-01,CAGNES/MER,9.4,0.1,14.7,0
2025-12-01,LYON LA SOIE,6.4,0.0,4.9,0
2025-12-02,DEAUVILLE,10.7,0.0,18.4,0
2025-12-02,FONTAINEBLEAU,8.2,0.0,13.7,0
2025-12-02,MAUQUENCHY,7.1,0.0,12.5,0
2025-12-03,VINCENNES,9.2,0.0,5.6,0
2025-12-03,CAGNES/MER,11.9,0.0,10.1,0
2025-12-03,DEAUVILLE,8.8,0.0,15.4,0
2025-12-04,VINCENNES,7.8,0.0,9.3,0
2025-12-04,PAU,7.8,1.2,19.9,0
2025-12-05,CASABLANCA,11.9,0.0,8.7,0
2025-12-05,VINCENNES,5.8,0.0,12.1,0
2025-12-05,LYON LA SOIE,6.9,0.0,8.3,0
2025-12-06,VINCENNES,11.5,0.0,14.6,0
2025-12-06,CHANTILLY,9.2,0.2,20.6,0
2025-12-07,VINCENNES,14.4,0.6,19.5,0
2025-12-07,AUTEUIL,11.0,1.0,17.5,0
2025-12-07,LYON LA SOIE,10.2,0.0,9.4,0
2025-12-08,CABOURG,14.2,0.5,20.5,0
2025-12-08,CAGNES/MER,11.6,0.0,5.4,0
2025-12-08,LE CROISE LAROCHE,12.4,0.5,16.7,0
2025-12-09,CHANTILLY,14.6,0.0,17.3,0
2025-12-09,FONTAINEBLEAU,8.2,0.0,14.9,0
2025-12-09,VINCENNES,14.8,0.0,11.6,0
2025-12-09,AMIENS,13.9,0.2,19.5,0
2025-12-10,PAU,9.8,0.3,1.2,0
2025-12-10,VINCENNES,12.7,0.0,7.3,0
2025-12-10,LYON LA SOIE,11.5,0.0,6.3,0
2025-12-11,CAGNES/MER,11.3,0.0,7.7,0
2025-12-11,CHANTILLY,9.4,0.0,11.8,0
2025-12-11,VINCENNES,9.9,0.0,9.9,0
2025-12-12,VINCENNES,11.6,0.0,4.9,0
2025-12-12,DEAUVILLE,12.3,0.0,10.2,0
2025-12-13,VINCENNES,9.1,0.0,5.3,0
