course_id,discipline,distance,nb_partants,allocation,taux_hippo,confiance_top1,cote_top1,ecart_top2,std_probas,temperature,precipitation,vent_kmh,terrain_lourd,erreur_top1,top1_dans_top5,gagnant_rang_chez_victor,precision_quinte,victor_correct,tranche_conf,tranche_dist
8405,TROT_MONTE,1500,14,21000,0.4866,83.51,3.4,1.26,10.2,15.0,0.0,10.0,0,5,1,8,3,1,>65%,Moyen
8406,TROT_MONTE,1300,14,17000,0.3624,57.74,9.8,18.42,13.74,15.0,0.0,10.0,0,5,1,99,2,1,55-65%,Sprint
8407,TROT_MONTE,1300,10,15000,0.3624,88.0,2.4,2.81,11.15,15.0,0.0,10.0,0,1,1,1,4,1,>65%,Sprint
8408,TROT_MONTE,2100,14,14000,0.3624,67.49,4.8,4.74,12.8,15.0,0.0,10.0,0,8,0,99,1,0,>65%,Long
8409,TROT_MONTE,1300,14,17000,0.3624,69.67,6.2,6.35,19.01,15.0,0.0,10.0,0,1,1,1,3,1,>65%,Sprint
8411,TROT_MONTE,1300,14,14000,0.3624,72.04,5.2,1.48,13.88,15.0,0.0,10.0,0,6,0,3,2,0,>65%,Sprint
8413,TROT_MONTE,1300,14,17000,0.3624,80.25,3.2,19.56,10.08,15.0,0.0,10.0,0,4,1,99,3,1,>65%,Sprint
8417,TROT_MONTE,2000,8,9350,0.5842,93.3,2.1,13.32,6.88,15.0,0.0,10.0,0,2,1,4,5,1,>65%,Long
8418,PLAT,4400,7,26000,0.4468,87.16,3.0,4.68,4.79,15.0,0.0,10.0,0,3,1,4,4,1,>65%,Fond
8419,PLAT,3500,7,23000,0.4468,88.31,4.0,11.51,13.13,15.0,0.0,10.0,0,5,1,99,3,1,>65%,Fond
8420,TROT_MONTE,2000,10,7650,0.5842,86.4,4.0,35.85,25.22,15.0,0.0,10.0,0,1,1,1,1,1,>65%,Long
8421,TROT_MONTE,1600,5,10000,0.5842,97.38,6.4,0.18,0.96,15.0,0.0,10.0,0,5,1,2,4,1,>65%,Moyen
8422,TROT_MONTE,1600,8,10200,0.5842,91.44,2.5,10.72,9.78,15.0,0.0,10.0,0,4,1,99,4,1,>65%,Moyen
8425,TROT_MONTE,2000,9,8500,0.5842,92.79,2.1,12.69,15.44,15.0,0.0,10.0,0,4,1,2,4,1,>65%,Long
8430,PLAT,3400,12,23000,0.4468,77.15,3.7,5.88,5.81,15.0,0.0,10.0,0,99,0,7,2,0,>65%,Fond
8436,PLAT,3400,10,26000,0.4468,81.41,3.3,7.64,14.4,15.0,0.0,10.0,0,1,1,1,3,1,>65%,Fond
8437,PLAT,3400,8,26000,0.4468,90.88,2.1,5.98,10.18,15.0,0.0,10.0,0,1,1,1,3,1,>65%,Fond
8440,PLAT,3800,11,23000,0.4468,74.8,4.8,0.01,8.91,15.0,0.0,10.0,0,5,1,2,3,1,>65%,Fond
8444,TROT_MONTE,2800,15,20000,0.4389,74.85,4.1,5.94,7.12,18.4,0.0,14.5,0,5,1,15,2,1,>65%,Fond
8445,TROT_MONTE,1300,18,27000,0.4389,64.83,6.3,12.0,18.59,18.4,0.0,14.5,0,2,1,99,1,1,55-65%,Sprint
8447,TROT_MONTE,2800,14,15000,0.4389,76.35,4.0,9.68,6.91,18.4,0.0,14.5,0,5,1,3,4,1,>65%,Fond
8450,TROT_MONTE,2800,15,22000,0.4389,75.84,4.5,0.35,12.45,18.4,0.0,14.5,0,2,1,2,4,1,>65%,Fond
8453,TROT_MONTE,1300,16,53000,0.4389,55.24,7.0,14.22,8.79,18.4,0.0,14.5,0,3,1,5,3,1,55-65%,Sprint
8457,TROT_MONTE,1600,13,16000,0.4389,65.8,5.3,2.22,9.9,18.4,0.0,14.5,0,8,0,99,3,0,>65%,Moyen
8461,TROT_MONTE,1300,18,27000,0.4389,54.75,8.3,10.81,12.83,18.4,0.0,14.5,0,6,0,99,2,0,45-55%,Sprint
8462,TROT_MONTE,1400,14,28000,0.4389,57.37,7.5,2.04,13.47,18.4,0.0,14.5,0,3,1,99,2,1,55-65%,Sprint
8464,TROT_MONTE,1400,14,28000,0.4389,81.73,2.8,25.85,15.96,18.4,0.0,14.5,0,1,1,1,2,1,>65%,Sprint
8470,CROSS,2150,14,24000,0.4283,78.63,3.7,16.43,10.9,15.0,0.0,10.0,0,3,1,99,3,1,>65%,Long
8473,CROSS,2950,16,25000,0.4283,62.86,6.3,29.78,13.1,15.0,0.0,10.0,0,99,0,99,0,0,55-65%,Fond
