date,hippodrome,temperature,precipitation,vent_kmh,terrain_lourd,date_str,hippo_str
2025-10-04,FONTAINEBLEAU,17.0,0.6,26.6,0,2025-10-04,FONTAINEBLEAU
2025-10-04,CABOURG,14.1,0.0,27.8,0,2025-10-04,CABOURG
2025-10-04,ParisLongchamp,14.8,0.0,25.0,0,2025-10-04,ParisLongchamp
2025-10-04,LAVAL,12.5,0.0,19.6,0,2025-10-04,LAVAL
2025-10-04,AMIENS,12.1,0.0,31.9,0,2025-10-04,AMIENS
2025-10-05,ParisLongchamp,16.2,0.0,20.5,0,2025-10-05,ParisLongchamp
2025-10-05,LYON-PARILLY,14.1,0.0,14.6,0,2025-10-05,LYON-PARILLY
2025-10-06,CASABLANCA,20.1,0.0,4.1,0,2025-10-06,CASABLANCA
2025-10-06,ENGHIEN,16.0,0.0,9.2,0,2025-10-06,ENGHIEN
2025-10-06,LE CROISE LAROCHE,16.6,0.0,16.9,0,2025-10-06,LE CROISE LAROCHE
2025-10-07,LYON-PARILLY,11.1,0.0,4.7,0,2025-10-07,LYON-PARILLY
2025-10-07,AUTEUIL,17.0,0.0,3.5,0,2025-10-07,AUTEUIL
2025-10-07,VINCENNES,18.0,0.0,2.7,0,2025-10-07,VINCENNES
2025-10-08,ENGHIEN,17.2,0.0,5.1,0,2025-10-08,ENGHIEN
2025-10-09,SAINT-CLOUD,17.4,0.0,6.6,0,2025-10-09,SAINT-CLOUD
2025-10-09,LYON-PARILLY,13.9,0.0,12.6,0,2025-10-09,LYON-PARILLY
2025-10-09,ENGHIEN,18.0,0.0,9.0,0,2025-10-09,ENGHIEN
2025-10-10,VINCENNES,14.4,0.0,9.1,0,2025-10-10,VINCENNES
2025-10-10,COMPIEGNE,14.4,0.0,7.1,0,2025-10-10,COMPIEGNE
2025-10-11,CHANTILLY,13.8,0.0,7.4,0,2025-10-11,CHANTILLY
2025-10-12,AUTEUIL,16.9,0.0,11.1,0,2025-10-12,AUTEUIL
2025-10-13,FONTAINEBLEAU,10.9,0.0,10.3,0,2025-10-13,FONTAINEBLEAU
2025-10-13,ENGHIEN,16.5,0.0,11.6,0,2025-10-13,ENGHIEN
2025-10-14,CHANTILLY,15.4,0.0,16.9,0,2025-10-14,CHANTILLY
2025-10-14,VINCENNES,15.6,0.0,13.4,0,2025-10-14,VINCENNES
2025-10-15,NANTES,13.1,0.0,17.9,0,2025-10-15,NANTES
2025-10-15,CABOURG,15.5,0.0,14.5,0,2025-10-15,CABOURG
2025-10-16,SAINT-CLOUD,13.8,0.0,12.8,0,2025-10-16,SAINT-CLOUD
2025-10-16,ENGHIEN,14.3,0.0,12.7,0,2025-10-16,ENGHIEN
2025-10-17,VINCENNES,16.4,0.0,12.2,0,2025-10-17,VINCENNES
